question,query,some_tables_in_query,only_relevant_tables,no_relevant_tables,founded_tables,method
"Wie lauten der Name des Geschäftsleiters und der Bezirk des Geschäfts, das die größte Anzahl von Produkten verkauft?","SELECT manager_name ,  district FROM shop ORDER BY number_products DESC LIMIT 1",True,False,False,"['district', 'Stores', 'Shops', 'Products', 'Product']",cross-encoder
Finden Sie die minimale und maximale Anzahl von Produkten aller Geschäfte.,"SELECT min(Number_products) ,  max(Number_products) FROM shop",True,False,False,"['Products', 'Product', 'Stores', 'Shops']",cross-encoder
Wie hoch ist die minimale und maximale Anzahl der Produkte aller Geschäfte?,"SELECT min(Number_products) ,  max(Number_products) FROM shop",True,False,False,"['Products', 'Product', 'Stores', 'Shops']",cross-encoder
"Geben Sie den Namen, den Standort und den Bezirk aller Geschäfte in absteigender Reihenfolge der Anzahl der Produkte an.","SELECT name ,  LOCATION ,  district FROM shop ORDER BY number_products DESC",True,False,False,"['Locations', 'LOCATION', 'district', 'store_district', 'Stores', 'Shops', 'Products', 'Product']",cross-encoder
"Sortieren Sie alle Geschäfte nach der Anzahl der Produkte in absteigender Reihenfolge, und geben Sie den Namen, den Standort und den Bezirk jedes Geschäfts zurück.","SELECT name ,  LOCATION ,  district FROM shop ORDER BY number_products DESC",True,False,False,"['store_district', 'Stores', 'Shops', 'Products', 'Product', 'Locations', 'LOCATION', 'district', 'store_district', 'Stores', 'Shops']",cross-encoder
"Finden Sie die Namen von Geschäften, deren Anzahl der Produkte die durchschnittliche Anzahl der Produkte übersteigt.",SELECT name FROM shop WHERE number_products  >  (SELECT avg(number_products) FROM shop),True,False,False,"['Stores', 'Shops', 'Products', 'Product', 'Products', 'Product']",cross-encoder
Bei welchen Geschäften liegt die Anzahl der Produkte über dem Durchschnitt? Geben Sie mir die Namen der Geschäfte.,SELECT name FROM shop WHERE number_products  >  (SELECT avg(number_products) FROM shop),True,False,False,"['store_district', 'Stores', 'Shops', 'Products', 'Product', 'Stores', 'Shops']",cross-encoder
"Finden Sie den Namen des Mitarbeiters, der bei der Bewertung am häufigsten ausgezeichnet wurde.",SELECT t1.name FROM employee AS t1 JOIN evaluation AS t2 ON t1.Employee_ID  =  t2.Employee_ID GROUP BY t2.Employee_ID ORDER BY count(*) DESC LIMIT 1,True,False,False,"['employee', 'Rating']",cross-encoder
Welcher Mitarbeiter hat bei der Bewertung die meisten Auszeichnungen erhalten? Geben Sie mir den Namen des Mitarbeiters.,SELECT t1.name FROM employee AS t1 JOIN evaluation AS t2 ON t1.Employee_ID  =  t2.Employee_ID GROUP BY t2.Employee_ID ORDER BY count(*) DESC LIMIT 1,True,False,False,"['employee', 'Rating', 'employee']",cross-encoder
"Finden Sie den Namen des Mitarbeiters, der den höchsten einmaligen Bonus erhalten hat.",SELECT t1.name FROM employee AS t1 JOIN evaluation AS t2 ON t1.Employee_ID  =  t2.Employee_ID ORDER BY t2.bonus DESC LIMIT 1,True,False,False,['employee'],cross-encoder
Welcher Mitarbeiter hat den höchsten Bonus erhalten? Geben Sie mir den Namen des Mitarbeiters.,SELECT t1.name FROM employee AS t1 JOIN evaluation AS t2 ON t1.Employee_ID  =  t2.Employee_ID ORDER BY t2.bonus DESC LIMIT 1,True,False,False,"['employee', 'employee']",cross-encoder
"Finden Sie die Namen der Mitarbeiter, die bei der Bewertung nie einen Preis gewonnen haben.",SELECT name FROM employee WHERE Employee_ID NOT IN (SELECT Employee_ID FROM evaluation),True,False,False,"['employee', 'Rating']",cross-encoder
"Wie lauten die Namen der Mitarbeiter, die bei der Bewertung nie eine Auszeichnung erhalten haben?",SELECT name FROM employee WHERE Employee_ID NOT IN (SELECT Employee_ID FROM evaluation),True,False,False,"['employee', 'Rating']",cross-encoder
"Wie lautet der Name des Geschäfts, das die größte Anzahl von Mitarbeitern einstellt?",SELECT t2.name FROM hiring AS t1 JOIN shop AS t2 ON t1.shop_id  =  t2.shop_id GROUP BY t1.shop_id ORDER BY count(*) DESC LIMIT 1,False,False,False,"['Stores', 'Shops']",cross-encoder
Welches Geschäft hat die meisten Mitarbeiter? Geben Sie mir den Namen des Geschäfts.,SELECT t2.name FROM hiring AS t1 JOIN shop AS t2 ON t1.shop_id  =  t2.shop_id GROUP BY t1.shop_id ORDER BY count(*) DESC LIMIT 1,False,False,False,"['Stores', 'Shops', 'employee', 'Stores', 'Shops']",cross-encoder
"Suchen Sie die Namen der Geschäfte, die keine Mitarbeiter einstellen.",SELECT name FROM shop WHERE shop_id NOT IN (SELECT shop_id FROM hiring),False,False,False,"['store_district', 'Stores', 'Shops', 'employee']",cross-encoder
Welche Geschäfte betreiben keine Mitarbeiter? Finden Sie die Namen der Geschäfte,SELECT name FROM shop WHERE shop_id NOT IN (SELECT shop_id FROM hiring),False,False,False,"['store_district', 'Stores', 'Shops', 'employee', 'store_district', 'Stores', 'Shops']",cross-encoder
Finden Sie die Anzahl der in jedem Geschäft eingestellten Mitarbeiter; zeigen Sie auch den Namen des Geschäfts an.,"SELECT count(*) ,  t2.name FROM hiring AS t1 JOIN shop AS t2 ON t1.shop_id  =  t2.shop_id GROUP BY t2.name",False,False,False,"['Stores', 'Shops', 'employee', 'store_district', 'Stores', 'Shops']",cross-encoder
Geben Sie für jedes Geschäft die Anzahl der dort beschäftigten Mitarbeiter und den Namen des Geschäfts an.,"SELECT count(*) ,  t2.name FROM hiring AS t1 JOIN shop AS t2 ON t1.shop_id  =  t2.shop_id GROUP BY t2.name",False,False,False,"['Stores', 'Shops', 'employment', 'employee', 'store_district', 'Stores', 'Shops']",cross-encoder
"Wie hoch ist der Gesamtbonus, der in allen Bewertungen angegeben wird?",SELECT sum(bonus) FROM evaluation,False,False,False,['Rating'],cross-encoder
"Ermitteln Sie den Gesamtbetrag des Bonus, der in allen Bewertungen angegeben ist.",SELECT sum(bonus) FROM evaluation,False,False,False,['Rating'],cross-encoder
Geben Sie mir alle Informationen über die Einstellung.,SELECT * FROM hiring,True,False,False,['hiring'],cross-encoder
Was sind alle Informationen über die Einstellung?,SELECT * FROM hiring,True,False,False,['hiring'],cross-encoder
In welchem Bezirk gibt es sowohl Geschäfte mit weniger als 3000 Produkten als auch Geschäfte mit mehr als 10000 Produkten?,SELECT district FROM shop WHERE Number_products  <  3000 INTERSECT SELECT district FROM shop WHERE Number_products  >  10000,True,False,False,"['district', 'store_district', 'Stores', 'Shops', 'Products', 'Product', 'store_district', 'Stores', 'Shops', 'Product']",cross-encoder
"Finden Sie die Bezirke, in denen es sowohl Geschäfte mit weniger als 3000 Produkten als auch Geschäfte mit mehr als 10000 Produkten gibt.",SELECT district FROM shop WHERE Number_products  <  3000 INTERSECT SELECT district FROM shop WHERE Number_products  >  10000,True,False,False,"['store_district', 'Stores', 'Shops', 'Products', 'Product', 'store_district', 'Stores', 'Shops', 'Products', 'Product']",cross-encoder
Wie viele verschiedene Standorte gibt es?,SELECT count(DISTINCT LOCATION) FROM shop,True,False,False,"['Locations', 'LOCATION']",cross-encoder
Zählen Sie die verschiedenen Standorte.,SELECT count(DISTINCT LOCATION) FROM shop,False,False,False,['Locations'],cross-encoder
Wie viele Dokumente haben wir?,SELECT count(*) FROM Documents,True,False,False,"['Documents', 'Documents']",cross-encoder
Zählen Sie die Dokumente.,SELECT count(*) FROM Documents,True,False,False,['Documents'],cross-encoder
"Listen Sie die IDs, Namen und Beschreibungen für alle Dokumente auf.","SELECT document_id ,  document_name ,  document_description FROM Documents",True,False,False,"['Documents', 'Documents']",cross-encoder
"Was sind die IDs, Namen und Beschreibungen für alle Dokumente?","SELECT document_id ,  document_name ,  document_description FROM Documents",True,False,False,['Documents'],cross-encoder
"Wie lauten der Dokumentname und die Vorlagen-ID für ein Dokument mit einer Beschreibung, in der 'w' vorkommt?","SELECT document_name ,  template_id FROM Documents WHERE Document_Description LIKE ""%w%""",True,False,False,"['Documents', 'Documents']",cross-encoder
"Geben Sie die Namen und Vorlagen-IDs für Dokumente zurück, die ""w"" in ihrer Beschreibung enthalten.","SELECT document_name ,  template_id FROM Documents WHERE Document_Description LIKE ""%w%""",True,False,False,"['Documents', 'Documents']",cross-encoder
"Wie lauten die Dokument-ID, die Vorlagen-ID und die Beschreibung für ein Dokument mit dem Namen ""Robbin CV""?","SELECT document_id ,  template_id ,  Document_Description FROM Documents WHERE document_name  =  ""Robbin CV""",True,False,False,"['Documents', 'Documents']",cross-encoder
"Geben Sie die Dokument-ID, die Vorlagen-ID und die Beschreibung für das Dokument mit dem Namen ""Robbin CV"" zurück.","SELECT document_id ,  template_id ,  Document_Description FROM Documents WHERE document_name  =  ""Robbin CV""",True,False,False,"['Documents', 'Documents']",cross-encoder
Wie viele verschiedene Vorlagen werden für alle Dokumente verwendet?,SELECT count(DISTINCT template_id) FROM Documents,True,False,False,"['Templates', 'Documents', 'Documents']",cross-encoder
"Zählen Sie die verschiedenen Vorlagen, die für Dokumente verwendet werden.",SELECT count(DISTINCT template_id) FROM Documents,True,False,False,"['Templates', 'Documents', 'Documents']",cross-encoder
"Wie viele Dokumente verwenden die Vorlage mit dem Typcode ""PPT""?",SELECT count(*) FROM Documents AS T1 JOIN Templates AS T2 ON T1.Template_ID  =  T2.Template_ID WHERE T2.Template_Type_Code  =  'PPT',True,False,False,"['Documents', 'Documents']",cross-encoder
"Zählen Sie die Dokumente, die den Vorlagentyp 'PPT' verwenden.",SELECT count(*) FROM Documents AS T1 JOIN Templates AS T2 ON T1.Template_ID  =  T2.Template_ID WHERE T2.Template_Type_Code  =  'PPT',True,False,False,['Documents'],cross-encoder
"Zeigen Sie alle Vorlagen-IDs und die Anzahl der Dokumente, die jede Vorlage verwenden.","SELECT template_id ,  count(*) FROM Documents GROUP BY template_id",True,False,False,['Documents'],cross-encoder
"Was sind die verschiedenen Vorlagen-IDs, die für Dokumente verwendet werden, und wie oft wurden sie jeweils verwendet?","SELECT template_id ,  count(*) FROM Documents GROUP BY template_id",True,False,False,"['Documents', 'Documents']",cross-encoder
"Welches ist der ID und Typcode für die Vorlage, die von den meisten Dokumenten verwendet wird?","SELECT T1.template_id ,  T2.Template_Type_Code FROM Documents AS T1 JOIN Templates AS T2 ON T1.template_id  =  T2.template_id GROUP BY T1.template_id ORDER BY count(*) DESC LIMIT 1",True,False,False,['Documents'],cross-encoder
"Geben Sie die ID und den Typcode der Vorlage zurück, die für die größte Anzahl von Dokumenten verwendet wird.","SELECT T1.template_id ,  T2.Template_Type_Code FROM Documents AS T1 JOIN Templates AS T2 ON T1.template_id  =  T2.template_id GROUP BY T1.template_id ORDER BY count(*) DESC LIMIT 1",True,False,False,['Documents'],cross-encoder
"Zeigen Sie die IDs für alle Vorlagen an, die von mehr als einem Dokument verwendet werden.",SELECT template_id FROM Documents GROUP BY template_id HAVING count(*)  >  1,True,False,False,"['Templates', 'Documents', 'Documents']",cross-encoder
"Wie lauten die Vorlagen-IDs aller Vorlagen, die in mehr als einem Dokument verwendet werden?",SELECT template_id FROM Documents GROUP BY template_id HAVING count(*)  >  1,True,False,False,"['Templates', 'Documents', 'Documents']",cross-encoder
"Zeigen Sie die IDs aller Vorlagen an, die von keinem Dokument verwendet werden.",SELECT template_id FROM Templates EXCEPT SELECT template_id FROM Documents,True,False,False,"['Templates', 'Documents', 'Documents']",cross-encoder
"Wie lauten die IDs von Vorlagen, die in keinem Dokument verwendet werden?",SELECT template_id FROM Templates EXCEPT SELECT template_id FROM Documents,True,False,False,"['Templates', 'Documents', 'Documents']",cross-encoder
Wie viele Vorlagen haben wir?,SELECT count(*) FROM Templates,True,False,False,['Templates'],cross-encoder
Zählen Sie die Vorlagen.,SELECT count(*) FROM Templates,True,False,False,['Templates'],cross-encoder
"Zeigen Sie die IDs, die Versionsnummern und die Typcodes für alle Vorlagen an.","SELECT template_id ,  version_number ,  template_type_code FROM Templates",True,False,False,['Templates'],cross-encoder
Alle verschiedenen Typcodes für alle Vorlagen anzeigen.,SELECT DISTINCT template_type_code FROM Templates,True,False,False,['Templates'],cross-encoder
Geben Sie die IDs von Vorlagen mit dem Code PP oder PPT zurück.,"SELECT template_id FROM Templates WHERE template_type_code  =  ""PP"" OR template_type_code  =  ""PPT""",True,False,False,['Templates'],cross-encoder
Wie viele Vorlagen haben den Typcode CV?,"SELECT count(*) FROM Templates WHERE template_type_code  =  ""CV""",True,False,False,['Templates'],cross-encoder
Zählen Sie die Anzahl der Vorlagen vom Typ CV.,"SELECT count(*) FROM Templates WHERE template_type_code  =  ""CV""",True,False,False,['Templates'],cross-encoder
Zählen Sie die Versionsnummern und Typcodes von Vorlagen mit einer Versionsnummer größer als 5.,"SELECT version_number ,  template_type_code FROM Templates WHERE version_number  >  5",True,False,False,"['Templates', 'Sizes']",cross-encoder
Zeigen Sie alle Vorlagentypcodes und die Anzahl der jeweiligen Vorlagen an.,"SELECT template_type_code ,  count(*) FROM Templates GROUP BY template_type_code",True,False,False,['Templates'],cross-encoder
"Welches sind die verschiedenen Vorlagentypcodes, und wie viele Vorlagen entsprechen ihnen jeweils?","SELECT template_type_code ,  count(*) FROM Templates GROUP BY template_type_code",True,False,False,['Templates'],cross-encoder
Welcher Typcode hat die meisten Vorlagen?,SELECT template_type_code FROM Templates GROUP BY template_type_code ORDER BY count(*) DESC LIMIT 1,True,False,False,['Templates'],cross-encoder
"Geben Sie den Typcode zurück, zu dem die meisten Vorlagen gehören.",SELECT template_type_code FROM Templates GROUP BY template_type_code ORDER BY count(*) DESC LIMIT 1,True,False,False,['Templates'],cross-encoder
Alle Vorlagentypcodes mit weniger als drei Vorlagen anzeigen.,SELECT template_type_code FROM Templates GROUP BY template_type_code HAVING count(*)  <  3,True,False,False,['Templates'],cross-encoder
"Was sind die Codes der Vorlagentypen, die weniger als 3 Vorlagen haben?",SELECT template_type_code FROM Templates GROUP BY template_type_code HAVING count(*)  <  3,True,False,False,['Templates'],cross-encoder
"Wie lautet der Typcode der Vorlage, die von einem Dokument mit dem Namen ""Datenbank"" verwendet wird?","SELECT T1.template_type_code FROM Templates AS T1 JOIN Documents AS T2 ON T1.template_id  =  T2.template_id WHERE T2.document_name  =  ""Data base""",True,False,False,"['Documents', 'Documents']",cross-encoder
"Geben Sie den Typcode der Vorlage zurück, die von einem Dokument mit dem Namen ""Datenbank"" verwendet wird.","SELECT T1.template_type_code FROM Templates AS T1 JOIN Documents AS T2 ON T1.template_id  =  T2.template_id WHERE T2.document_name  =  ""Data base""",True,False,False,"['Documents', 'Documents']",cross-encoder
"Zeigen Sie alle Dokumentnamen an, die Vorlagen mit dem Vorlagentypcode BK verwenden.","SELECT T2.document_name FROM Templates AS T1 JOIN Documents AS T2 ON T1.template_id  =  T2.template_id WHERE T1.template_type_code  =  ""BK""",True,False,False,['Templates'],cross-encoder
"Wie lauten die Namen von Dokumenten, die Vorlagen mit dem Code BK verwenden?","SELECT T2.document_name FROM Templates AS T1 JOIN Documents AS T2 ON T1.template_id  =  T2.template_id WHERE T1.template_type_code  =  ""BK""",True,False,False,"['Documents', 'Templates']",cross-encoder
"Zeigen Sie alle Vorlagentypcodes und die Anzahl der Dokumente an, die jeden Typ verwenden.","SELECT T1.template_type_code ,  count(*) FROM Templates AS T1 JOIN Documents AS T2 ON T1.template_id  =  T2.template_id GROUP BY T1.template_type_code",True,False,False,"['Documents', 'Documents']",cross-encoder
"Was sind die verschiedenen Vorlagentypcodes, und wie viele Dokumente verwenden jeden Typ?","SELECT T1.template_type_code ,  count(*) FROM Templates AS T1 JOIN Documents AS T2 ON T1.template_id  =  T2.template_id GROUP BY T1.template_type_code",True,False,False,"['Documents', 'Documents']",cross-encoder
Welcher Vorlagentypcode wird von der meisten Anzahl von Dokumenten verwendet?,SELECT T1.template_type_code FROM Templates AS T1 JOIN Documents AS T2 ON T1.template_id  =  T2.template_id GROUP BY T1.template_type_code ORDER BY count(*) DESC LIMIT 1,True,False,False,['Documents'],cross-encoder
"Geben Sie den Code des Vorlagentyps zurück, der am häufigsten in Dokumenten verwendet wird.",SELECT T1.template_type_code FROM Templates AS T1 JOIN Documents AS T2 ON T1.template_id  =  T2.template_id GROUP BY T1.template_type_code ORDER BY count(*) DESC LIMIT 1,True,False,False,['Documents'],cross-encoder
"Zeigen Sie alle Typcodes der Vorlagen an, die von keinem Dokument verwendet werden.",SELECT template_type_code FROM Templates EXCEPT SELECT template_type_code FROM Templates AS T1 JOIN Documents AS T2 ON T1.template_id  =  T2.template_id,True,False,False,"['Templates', 'Documents', 'Documents']",cross-encoder
"Welches sind die Typcodes der Vorlagen, die von keinem Dokument verwendet werden?",SELECT template_type_code FROM Templates EXCEPT SELECT template_type_code FROM Templates AS T1 JOIN Documents AS T2 ON T1.template_id  =  T2.template_id,True,False,False,"['Templates', 'Documents', 'Documents']",cross-encoder
Zeigen Sie alle Typcodes und Beschreibungen der Vorlagen an.,"SELECT template_type_code ,  template_type_description FROM Ref_template_types",False,False,False,['Templates'],cross-encoder
Wie lauten die Typencodes und Beschreibungen für alle Vorlagen?,"SELECT template_type_code ,  template_type_description FROM Ref_template_types",False,False,False,['Templates'],cross-encoder
"Geben Sie den Typcode der Vorlagen mit der Beschreibung ""Buch"" zurück.","SELECT template_type_code FROM Ref_template_types WHERE template_type_description  =  ""Book""",False,False,False,['Templates'],cross-encoder
"Welches sind die verschiedenen Beschreibungen für die Vorlagen, die jemals von einem Dokument verwendet wurden?",SELECT DISTINCT T1.template_type_description FROM Ref_template_types AS T1 JOIN Templates AS T2 ON T1.template_type_code  = T2.template_type_code JOIN Documents AS T3 ON T2.Template_ID  =  T3.template_ID,True,False,False,"['Templates', 'Documents', 'Documents']",cross-encoder
"Geben Sie die verschiedenen Beschreibungen für Vorlagen zurück, die in einem Dokument verwendet worden sind.",SELECT DISTINCT T1.template_type_description FROM Ref_template_types AS T1 JOIN Templates AS T2 ON T1.template_type_code  = T2.template_type_code JOIN Documents AS T3 ON T2.Template_ID  =  T3.template_ID,True,False,False,"['Templates', 'Documents', 'Documents']",cross-encoder
"Geben Sie die IDs zurück, die den Vorlagen mit der Beschreibung ""Präsentation"" entsprechen.","SELECT T2.template_id FROM Ref_template_types AS T1 JOIN Templates AS T2 ON T1.template_type_code  = T2.template_type_code WHERE T1.template_type_description  =  ""Presentation""",True,False,False,['Templates'],cross-encoder
Wie viele Absätze insgesamt?,SELECT count(*) FROM Paragraphs,True,False,False,['Paragraphs'],cross-encoder
Zählen Sie die Absätze.,SELECT count(*) FROM Paragraphs,True,False,False,['Paragraphs'],cross-encoder
"Wie viele Absätze für das Dokument mit dem Namen ""Summer Show""?",SELECT count(*) FROM Paragraphs AS T1 JOIN Documents AS T2 ON T1.document_ID  =  T2.document_ID WHERE T2.document_name  =  'Summer Show',True,False,False,"['Paragraphs', 'Documents', 'Documents']",cross-encoder
"Zählen Sie die Anzahl der Absätze für das Dokument mit dem Namen ""Summer Show"".",SELECT count(*) FROM Paragraphs AS T1 JOIN Documents AS T2 ON T1.document_ID  =  T2.document_ID WHERE T2.document_name  =  'Summer Show',True,False,False,"['Paragraphs', 'Documents', 'Documents']",cross-encoder
"Zeige Details für den Absatz mit dem Text ""Korea ' .",select other_details from paragraphs where paragraph_text like 'korea',True,False,False,['Paragraphs'],cross-encoder
Wie lauten die Details für den Absatz mit dem Text 'Korea ' ?,select other_details from paragraphs where paragraph_text like 'korea',True,False,False,['Paragraphs'],cross-encoder
Alle Absatz-IDs und Texte für das Dokument mit dem Namen 'Welcome to NY' anzeigen.,"SELECT T1.paragraph_id ,   T1.paragraph_text FROM Paragraphs AS T1 JOIN Documents AS T2 ON T1.document_id  =  T2.document_id WHERE T2.Document_Name  =  'Welcome to NY'",True,False,False,"['Documents', 'Documents']",cross-encoder
"Was sind die IDs und Texte von Absätzen in dem Dokument mit dem Namen ""Welcome to NY""?","SELECT T1.paragraph_id ,   T1.paragraph_text FROM Paragraphs AS T1 JOIN Documents AS T2 ON T1.document_id  =  T2.document_id WHERE T2.Document_Name  =  'Welcome to NY'",True,False,False,"['Paragraphs', 'Documents', 'Documents']",cross-encoder
"Alle Absatztexte für das Dokument mit dem Namen ""Customer reviews"" anzeigen.","SELECT T1.paragraph_text FROM Paragraphs AS T1 JOIN Documents AS T2 ON T1.document_id  =  T2.document_id WHERE T2.document_name  =  ""Customer reviews""",True,False,False,"['Documents', 'Documents']",cross-encoder
"Was sind die Absatztexte für das Dokument mit dem Namen ""Customer reviews""?","SELECT T1.paragraph_text FROM Paragraphs AS T1 JOIN Documents AS T2 ON T1.document_id  =  T2.document_id WHERE T2.document_name  =  ""Customer reviews""",True,False,False,"['Documents', 'Documents']",cross-encoder
Alle Dokument-IDs und die Anzahl der Absätze in jedem Dokument anzeigen. Nach Dokument-ID geordnet.,"SELECT document_id ,  count(*) FROM Paragraphs GROUP BY document_id ORDER BY document_id",True,False,False,"['Paragraphs', 'Documents', 'Documents']",cross-encoder
"Geben Sie die verschiedenen Dokument-IDs zusammen mit der Anzahl der entsprechenden Absätze, geordnet nach ID, zurück.","SELECT document_id ,  count(*) FROM Paragraphs GROUP BY document_id ORDER BY document_id",True,False,False,['Paragraphs'],cross-encoder
"Alle Dokument-IDs, Namen und die Anzahl der Absätze in jedem Dokument anzeigen.","SELECT T1.document_id ,  T2.document_name ,  count(*) FROM Paragraphs AS T1 JOIN Documents AS T2 ON T1.document_id  =  T2.document_id GROUP BY T1.document_id",True,False,False,"['Paragraphs', 'Documents', 'Documents']",cross-encoder
Was sind die IDs und Namen der einzelnen Dokumente sowie die Anzahl der Absätze in jedem Dokument?,"SELECT T1.document_id ,  T2.document_name ,  count(*) FROM Paragraphs AS T1 JOIN Documents AS T2 ON T1.document_id  =  T2.document_id GROUP BY T1.document_id",True,False,False,"['Documents', 'Documents', 'Paragraphs', 'Documents']",cross-encoder
Alle Dokument-IDs mit mindestens zwei Absätzen auflisten.,SELECT document_id FROM Paragraphs GROUP BY document_id HAVING count(*)  >=  2,True,False,False,['Paragraphs'],cross-encoder
Wie lauten die IDs von Dokumenten mit 2 oder mehr Absätzen?,SELECT document_id FROM Paragraphs GROUP BY document_id HAVING count(*)  >=  2,False,False,False,['Documents'],cross-encoder
Geben Sie die ID und den Namen des Dokuments mit den meisten Absätzen zurück.,"SELECT T1.document_id ,  T2.document_name FROM Paragraphs AS T1 JOIN Documents AS T2 ON T1.document_id  =  T2.document_id GROUP BY T1.document_id ORDER BY count(*) DESC LIMIT 1",True,False,False,['Paragraphs'],cross-encoder
Geben Sie die Dokument-ID mit den wenigsten Absätzen zurück.,SELECT document_id FROM Paragraphs GROUP BY document_id ORDER BY count(*) ASC LIMIT 1,True,False,False,['Paragraphs'],cross-encoder
"Geben Sie die IDs von Dokumenten an, die zwischen einem und zwei Absätzen haben.",SELECT document_id FROM Paragraphs GROUP BY document_id HAVING count(*) BETWEEN 1 AND 2,True,False,False,"['Documents', 'Paragraphs']",cross-encoder
Geben Sie die Dokument-ID mit den Absätzen 'Brasilien' und 'Irland' an.,SELECT document_id FROM Paragraphs WHERE paragraph_text  =  'Brazil' INTERSECT SELECT document_id FROM Paragraphs WHERE paragraph_text  =  'Ireland',True,False,False,['Paragraphs'],cross-encoder
"Wie lauten die IDs von Dokumenten, die den Absatztext 'Brasilien' und 'Irland' enthalten?",SELECT document_id FROM Paragraphs WHERE paragraph_text  =  'Brazil' INTERSECT SELECT document_id FROM Paragraphs WHERE paragraph_text  =  'Ireland',False,False,False,['Documents'],cross-encoder
Aus welchen Städten kommen mindestens zwei Lehrenden?,SELECT Hometown FROM teacher GROUP BY Hometown HAVING COUNT(*)  >=  2,False,False,False,['city'],cross-encoder
"Zeigen Sie die Namen der Lehrenden und die Kurse, die sie unterrichten sollen.","SELECT T3.Name ,  T2.Course FROM course_arrange AS T1 JOIN course AS T2 ON T1.Course_ID  =  T2.Course_ID JOIN teacher AS T3 ON T1.Teacher_ID  =  T3.Teacher_ID",False,False,False,"['Courses', 'Lessons']",cross-encoder
Wie lauten die Namen der/des einzelnen Lehrenden und welchen Kurs sie unterrichten?,"SELECT T3.Name ,  T2.Course FROM course_arrange AS T1 JOIN course AS T2 ON T1.Course_ID  =  T2.Course_ID JOIN teacher AS T3 ON T1.Teacher_ID  =  T3.Teacher_ID",True,False,False,"['course', 'Lessons']",cross-encoder
"Zeigen Sie die Namen der Lehrenden und die Kurse, die sie unterrichten, in aufsteigender alphabetischer Reihenfolge des Namens der Lehrenden an.","SELECT T3.Name ,  T2.Course FROM course_arrange AS T1 JOIN course AS T2 ON T1.Course_ID  =  T2.Course_ID JOIN teacher AS T3 ON T1.Teacher_ID  =  T3.Teacher_ID ORDER BY T3.Name",False,False,False,"['Courses', 'Lessons']",cross-encoder
"Wie lauten die Namen der Lehrenden und der Kurse, die sie unterrichten, in aufsteigender alphabetischer Reihenfolge nach dem Namen der Lehrenden?","SELECT T3.Name ,  T2.Course FROM course_arrange AS T1 JOIN course AS T2 ON T1.Course_ID  =  T2.Course_ID JOIN teacher AS T3 ON T1.Teacher_ID  =  T3.Teacher_ID ORDER BY T3.Name",False,False,False,"['Courses', 'Lessons']",cross-encoder
"Wie lauten die Namen der Personen, die Mathekurse unterrichten?","SELECT T3.Name FROM course_arrange AS T1 JOIN course AS T2 ON T1.Course_ID  =  T2.Course_ID JOIN teacher AS T3 ON T1.Teacher_ID  =  T3.Teacher_ID WHERE T2.Course  =  ""Math""",False,False,False,"['people', 'Lessons']",cross-encoder
"Zeigen Sie die Namen der Lehrenden und die Anzahl der Kurse, die sie unterrichten.","SELECT T2.Name ,  COUNT(*) FROM course_arrange AS T1 JOIN teacher AS T2 ON T1.Teacher_ID  =  T2.Teacher_ID GROUP BY T2.Name",False,False,False,"['Courses', 'Lessons']",cross-encoder
"Wie lauten die Namen der Lehrenden und die Anzahl der Kurse, die sie unterrichten?","SELECT T2.Name ,  COUNT(*) FROM course_arrange AS T1 JOIN teacher AS T2 ON T1.Teacher_ID  =  T2.Teacher_ID GROUP BY T2.Name",False,False,False,"['Courses', 'Lessons']",cross-encoder
"Zeigen Sie die Namen der Lehrenden, die mindestens zwei Kurse unterrichten.",SELECT T2.Name FROM course_arrange AS T1 JOIN teacher AS T2 ON T1.Teacher_ID  =  T2.Teacher_ID GROUP BY T2.Name HAVING COUNT(*)  >=  2,False,False,False,"['Courses', 'Lessons']",cross-encoder
"Wie lauten die Namen der Lehrenden, die mindestens zwei Kurse unterrichten?",SELECT T2.Name FROM course_arrange AS T1 JOIN teacher AS T2 ON T1.Teacher_ID  =  T2.Teacher_ID GROUP BY T2.Name HAVING COUNT(*)  >=  2,False,False,False,"['Courses', 'Lessons']",cross-encoder
"Geben Sie die Namen der Lehrenden an, die nicht für das Unterrichten von Kursen vorgesehen sind.",SELECT Name FROM teacher WHERE Teacher_id NOT IN (SELECT Teacher_id FROM course_arrange),False,False,False,"['Lessons', 'Courses']",cross-encoder
"Wie lauten die Namen der Lehrenden, deren Kurse nicht vereinbart wurden?",SELECT Name FROM teacher WHERE Teacher_id NOT IN (SELECT Teacher_id FROM course_arrange),False,False,False,['Courses'],cross-encoder
Wie viele Besucher unter 30 Jahren gibt es?,SELECT count(*) FROM visitor WHERE age  <  30,False,False,False,['Visitors'],cross-encoder
"Finden Sie die Namen der Besucher, deren Mitgliedsstufe höher als 4 ist, und ordnen Sie die Ergebnisse nach der Stufe von hoch nach niedrig.",SELECT name FROM visitor WHERE Level_of_membership  >  4 ORDER BY Level_of_membership DESC,False,False,False,"['Visitors', 'results']",cross-encoder
"Wie hoch ist das Durchschnittsalter der Besucher, deren Mitgliedsstufe nicht höher als 4 ist?",SELECT avg(age) FROM visitor WHERE Level_of_membership  <=  4,False,False,False,['Visitors'],cross-encoder
